technique_ID,Azure AD,Containers,Google Workspace,IaaS,Linux,Network,Office 365,PRE,SaaS,Windows,macOS
T1001,0,0,0,0,1,0,0,0,0,1,1
T1001.001,0,0,0,0,1,0,0,0,0,1,1
T1001.002,0,0,0,0,1,0,0,0,0,1,1
T1001.003,0,0,0,0,1,0,0,0,0,1,1
T1003,0,0,0,0,1,0,0,0,0,1,1
T1003.001,0,0,0,0,0,0,0,0,0,1,0
T1003.002,0,0,0,0,0,0,0,0,0,1,0
T1003.003,0,0,0,0,0,0,0,0,0,1,0
T1003.004,0,0,0,0,0,0,0,0,0,1,0
T1003.005,0,0,0,0,0,0,0,0,0,1,0
T1003.006,0,0,0,0,0,0,0,0,0,1,0
T1003.007,0,0,0,0,1,0,0,0,0,0,0
T1003.008,0,0,0,0,1,0,0,0,0,0,0
T1005,0,0,0,0,1,1,0,0,0,1,1
T1006,0,0,0,0,0,0,0,0,0,1,0
T1007,0,0,0,0,1,0,0,0,0,1,1
T1008,0,0,0,0,1,0,0,0,0,1,1
T1010,0,0,0,0,1,0,0,0,0,1,1
T1011,0,0,0,0,1,0,0,0,0,1,1
T1011.001,0,0,0,0,1,0,0,0,0,1,1
T1012,0,0,0,0,0,0,0,0,0,1,0
T1014,0,0,0,0,1,0,0,0,0,1,1
T1016,0,0,0,0,1,1,0,0,0,1,1
T1016.001,0,0,0,0,1,0,0,0,0,1,1
T1018,0,0,0,0,1,1,0,0,0,1,1
T1020,0,0,0,0,1,1,0,0,0,1,1
T1020.001,0,0,0,1,0,1,0,0,0,0,0
T1021,0,0,0,0,1,0,0,0,0,1,1
T1021.001,0,0,0,0,0,0,0,0,0,1,0
T1021.002,0,0,0,0,0,0,0,0,0,1,0
T1021.003,0,0,0,0,0,0,0,0,0,1,0
T1021.004,0,0,0,0,1,0,0,0,0,0,1
T1021.005,0,0,0,0,1,0,0,0,0,1,1
T1021.006,0,0,0,0,0,0,0,0,0,1,0
T1021.007,1,0,1,1,0,0,1,0,1,0,0
T1025,0,0,0,0,1,0,0,0,0,1,1
T1027,0,0,0,0,1,0,0,0,0,1,1
T1027.001,0,0,0,0,1,0,0,0,0,1,1
T1027.002,0,0,0,0,1,0,0,0,0,1,1
T1027.003,0,0,0,0,1,0,0,0,0,1,1
T1027.004,0,0,0,0,1,0,0,0,0,1,1
T1027.005,0,0,0,0,1,0,0,0,0,1,1
T1027.006,0,0,0,0,1,0,0,0,0,1,1
T1027.007,0,0,0,0,0,0,0,0,0,1,0
T1027.008,0,0,0,0,1,0,0,0,0,1,1
T1027.009,0,0,0,0,1,0,0,0,0,1,1
T1027.010,0,0,0,0,1,0,0,0,0,1,1
T1027.011,0,0,0,0,0,0,0,0,0,1,0
T1029,0,0,0,0,1,0,0,0,0,1,1
T1030,0,0,0,0,1,0,0,0,0,1,1
T1033,0,0,0,0,1,1,0,0,0,1,1
T1036,0,1,0,0,1,0,0,0,0,1,1
T1036.001,0,0,0,0,0,0,0,0,0,1,1
T1036.002,0,0,0,0,1,0,0,0,0,1,1
T1036.003,0,0,0,0,1,0,0,0,0,1,1
T1036.004,0,0,0,0,1,0,0,0,0,1,1
T1036.005,0,1,0,0,1,0,0,0,0,1,1
T1036.006,0,0,0,0,1,0,0,0,0,0,1
T1036.007,0,0,0,0,0,0,0,0,0,1,0
T1036.008,0,0,0,0,1,0,0,0,0,1,1
T1037,0,0,0,0,1,0,0,0,0,1,1
T1037.001,0,0,0,0,0,0,0,0,0,1,0
T1037.002,0,0,0,0,0,0,0,0,0,0,1
T1037.003,0,0,0,0,0,0,0,0,0,1,0
T1037.004,0,0,0,0,1,0,0,0,0,0,1
T1037.005,0,0,0,0,0,0,0,0,0,0,1
T1039,0,0,0,0,1,0,0,0,0,1,1
T1040,0,0,0,1,1,1,0,0,0,1,1
T1041,0,0,0,0,1,0,0,0,0,1,1
T1046,0,1,0,1,1,1,0,0,0,1,1
T1047,0,0,0,0,0,0,0,0,0,1,0
T1048,0,0,1,1,1,1,1,0,1,1,1
T1048.001,0,0,0,0,1,0,0,0,0,1,1
T1048.002,0,0,0,0,1,0,0,0,0,1,1
T1048.003,0,0,0,0,1,1,0,0,0,1,1
T1049,0,0,0,1,1,1,0,0,0,1,1
T1052,0,0,0,0,1,0,0,0,0,1,1
T1052.001,0,0,0,0,1,0,0,0,0,1,1
T1053,0,1,0,0,1,0,0,0,0,1,1
T1053.002,0,0,0,0,1,0,0,0,0,1,1
T1053.003,0,0,0,0,1,0,0,0,0,0,1
T1053.005,0,0,0,0,0,0,0,0,0,1,0
T1053.006,0,0,0,0,1,0,0,0,0,0,0
T1053.007,0,1,0,0,0,0,0,0,0,0,0
T1055,0,0,0,0,1,0,0,0,0,1,1
T1055.001,0,0,0,0,0,0,0,0,0,1,0
T1055.002,0,0,0,0,0,0,0,0,0,1,0
T1055.003,0,0,0,0,0,0,0,0,0,1,0
T1055.004,0,0,0,0,0,0,0,0,0,1,0
T1055.005,0,0,0,0,0,0,0,0,0,1,0
T1055.008,0,0,0,0,1,0,0,0,0,0,0
T1055.009,0,0,0,0,1,0,0,0,0,0,0
T1055.011,0,0,0,0,0,0,0,0,0,1,0
T1055.012,0,0,0,0,0,0,0,0,0,1,0
T1055.013,0,0,0,0,0,0,0,0,0,1,0
T1055.014,0,0,0,0,1,0,0,0,0,0,0
T1055.015,0,0,0,0,0,0,0,0,0,1,0
T1056,0,0,0,0,1,1,0,0,0,1,1
T1056.001,0,0,0,0,1,1,0,0,0,1,1
T1056.002,0,0,0,0,1,0,0,0,0,1,1
T1056.003,0,0,0,0,1,0,0,0,0,1,1
T1056.004,0,0,0,0,0,0,0,0,0,1,0
T1057,0,0,0,0,1,1,0,0,0,1,1
T1059,1,0,1,1,1,1,1,0,0,1,1
